Month,Average USD/GBP=,Min USD/GBP=,Max USD/GBP=,Nb of working days
7/1964,0.358442,0.358067,0.35875100000000004,23
6/1964,0.35787199999999997,0.35749000000000003,0.358205,22
5/1964,0.357199,0.357126,0.357329,21
4/1964,0.35727,0.357107,0.35737399999999997,22
3/1964,0.357377,0.357324,0.35743800000000003,22
2/1964,0.357511,0.357338,0.35784699999999997,20
1/1964,0.357369,0.357236,0.357611,23
12/1963,0.357576,0.357481,0.357655,22
11/1963,0.35740900000000003,0.357344,0.357471,21
10/1963,0.357417,0.357338,0.357484,23
9/1963,0.357428,0.35727600000000004,0.357512,21
8/1963,0.35718099999999997,0.357023,0.357443,22
7/1963,0.357023,0.356898,0.357107,23
6/1963,0.357112,0.357053,0.357166,20
5/1963,0.35717899999999997,0.357056,0.357267,23
4/1963,0.357042,0.35693800000000003,0.357168,22
3/1963,0.357067,0.356856,0.357329,21
2/1963,0.3567,0.356557,0.35683200000000004,20
1/1963,0.356544,0.35633899999999996,0.356869,23
12/1962,0.356698,0.356645,0.356869,21
11/1962,0.35688200000000003,0.356647,0.357048,22
10/1962,0.356939,0.356825,0.357041,23
9/1962,0.357013,0.35691999999999996,0.357136,20
8/1962,0.356642,0.356398,0.356996,23
7/1962,0.356285,0.356088,0.356557,22
6/1962,0.356082,0.35581999999999997,0.356381,21
5/1962,0.355611,0.35538400000000003,0.35599000000000003,23
4/1962,0.35537199999999997,0.3552,0.35567600000000005,21
3/1962,0.355232,0.35499200000000003,0.35576199999999997,22
2/1962,0.355311,0.35512,0.355607,20
1/1962,0.3558,0.355624,0.356131,23
12/1961,0.355932,0.355538,0.35639299999999996,21
11/1961,0.35526599999999997,0.355168,0.355504,22
10/1961,0.355218,0.355059,0.35541999999999996,22
9/1961,0.355652,0.35536999999999996,0.35629,21
8/1961,0.35681599999999997,0.35646700000000003,0.357721,23
7/1961,0.358786,0.35784699999999997,0.359148,21
6/1961,0.35843200000000003,0.358015,0.358792,22
5/1961,0.357927,0.357615,0.3584,23
4/1961,0.357392,0.35717,0.35770799999999997,20
3/1961,0.357527,0.357207,0.35820599999999997,23
2/1961,0.357096,0.356564,0.357763,20
1/1961,0.356325,0.356204,0.35680100000000003,22
12/1960,0.35618,0.35576599999999997,0.356679,22
11/1960,0.35542199999999996,0.355009,0.3561,22
10/1960,0.35573499999999997,0.355281,0.35604,21
9/1960,0.35552399999999995,0.355075,0.356167,22
8/1960,0.35585,0.35562,0.356075,23
7/1960,0.356096,0.35589299999999996,0.356288,21
6/1960,0.356811,0.356288,0.357265,22
5/1960,0.35636799999999996,0.355984,0.356746,22
4/1960,0.355925,0.35565,0.356167,21
3/1960,0.35639699999999996,0.356167,0.356685,23
2/1960,0.356712,0.356588,0.35684899999999997,21
1/1960,0.357161,0.35681,0.3574,21
12/1959,0.35731,0.357018,0.357722,23
11/1959,0.356773,0.356547,0.356988,21
10/1959,0.35628899999999997,0.35593600000000003,0.356695,22
9/1959,0.356675,0.356185,0.357015,22
8/1959,0.35589299999999996,0.355599,0.35630100000000003,21
7/1959,0.355652,0.355536,0.35581399999999996,23
6/1959,0.355531,0.355416,0.355748,22
5/1959,0.355284,0.355025,0.355675,21
4/1959,0.355049,0.354914,0.355217,22
3/1959,0.355525,0.355125,0.355844,22
2/1959,0.355944,0.355771,0.35614,20
1/1959,0.356325,0.355864,0.35686799999999996,22
12/1958,0.357551,0.356838,0.35795,23
11/1958,0.357612,0.35741799999999996,0.357877,20
10/1958,0.358006,0.357838,0.358114,23
9/1958,0.358266,0.357915,0.358542,22
8/1958,0.358383,0.357846,0.35876399999999997,21
7/1958,0.358846,0.358577,0.359089,23
6/1958,0.358249,0.35785100000000003,0.358825,21
5/1958,0.357792,0.357344,0.35827800000000004,22
4/1958,0.35777800000000004,0.357448,0.358057,22
3/1958,0.3573,0.35694899999999996,0.35797399999999996,21
2/1958,0.35690700000000003,0.356767,0.3571,20
1/1958,0.35690500000000003,0.356651,0.35746999999999995,23
12/1957,0.357184,0.356906,0.357531,22
11/1957,0.356844,0.356638,0.35711,21
10/1957,0.357221,0.356327,0.35876199999999997,23
9/1957,0.359565,0.35754,0.35993,21
8/1957,0.359842,0.359381,0.35991300000000004,22
7/1957,0.359697,0.359091,0.35988200000000004,23
6/1957,0.35852399999999995,0.35804600000000003,0.358998,20
5/1957,0.35775300000000004,0.357296,0.35815,23
4/1957,0.35747399999999996,0.35732600000000003,0.357925,22
3/1957,0.357603,0.35728699999999997,0.358135,21
2/1957,0.357478,0.357275,0.357623,20
1/1957,0.357741,0.357143,0.358518,23
12/1956,0.358396,0.35781799999999997,0.358813,21
11/1956,0.35862,0.358144,0.359142,22
10/1956,0.358216,0.357995,0.35905,23
9/1956,0.358464,0.357759,0.358875,20
8/1956,0.358622,0.358144,0.35897199999999996,23
7/1956,0.359099,0.358836,0.35931599999999997,22
6/1956,0.359313,0.359003,0.359596,21
5/1956,0.35904400000000003,0.358783,0.35922800000000005,23
4/1956,0.359234,0.358888,0.359643,21
3/1956,0.359693,0.35941999999999996,0.360096,22
2/1956,0.359621,0.359294,0.36007,21
